,VMag,Star_name,Bayer Designation,Distance,Spectral Class,Mass,Radius,Luminosity,,Star_name,Distance,Mass,Radius
0,0.000−26.74,Sun,,0.000015813,G2,1,1,1
1,0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71´,25.4
2,0.003−0.74,Canopus,α Car,0310,A9,15,71,"13,500"
3,0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2,2
4,0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26,170
5,0.03,Vega,α Lyr,0025,A0,2.2,2.7,50
6,0.08,Capella,α Aur,0043,G8,2.6,12,150
7,0.13,Rigel,β Ori,0860,B8,23,78.9,"120,000"
8,0.34,Procyon,α CMi,0011.4,F5,1.5,1.9,7.7
9, 0.45,Betelgeuse,α Ori,0640[1],M2,20,950,"60,000"
10,0.46,Achernar,α Eri,0144,B3,6.7,9.3,"3,000"
11,0.61,Hadar,β Cen,0390,B1,10.5,8.6,"42,000"
12,0.76,Altair,α Aql,0017,A7,1.8,1.8,10.5
13,0.76,Acrux,α Cru,0320,B0.5,18,8.9,"25,000"
14,0.86,Aldebaran,α Tau,0065,K5,1.5,44,520
15,0.96,Antares,α Sco,0600,M1.5,12,680,"75,000"
16,0.97,Spica,α Vir,0260,B1,11.43,7.47,"20,512"
17,1.14,Pollux,β Gem,0034,K0,1.9,8.8,43
18,1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8,16.6
19,1.25,Deneb,α Cyg,"2,600",A2,19,203,"200,000"
20,1.25,Mimosa,β Cru,0350,B0.5,16,8.4,"34,000"
21,1.39,Regulus,α Leo,0077,B7,3.8,3.1,290
22,1.50,Adhara,ε CMa,0430,B2,12.5,14,"39,000"
23,1.62,Shaula,λ Sco,0700,B2,14.5,8.8,"36,000"
24,1.62,Castor,α Gem,0052,A1,2.8,2.4,30
25,1.64,Gacrux,γ Cru,0088,M3.5,1.5,84,820
26,1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8,"9,200"
27,1.65,Elnath,β Tau,0130,B7,5.0,4.2,700
28,1.69,Miaplacidus,β Car,0110,A1,3.5,6.8,290
29,1.69,Alnilam,ε Ori,"2,000",B0,32,42,"380,000"
30,1.72,Gamma Velorum,"γ1,2 Vel","01,100",WC8,9.0,6,"170,000"
31,1.74,Alnair,α Gru,0101,B7,4.0,3.4,260
32,1.77,Alioth,ε UMa,0081,A1,2.9,4.2,110
33,1.77,Alnitak,ζ Ori,01050,O9.7,33,20,"120,000"
34,1.79,Dubhe,α UMa,0120,G9,4.25,30,300
35,1.80,Mirfak,α Per,0590,F5,8.5,68,"5,000"
36,1.82,Wezen,δ CMa,"1,600",F8,17,200,"82,000"
37,1.84,Sargas,θ Sco,0270,F0,5.7,26,"1,800"
38,1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8,360
39,1.86,Avior,ε Car,0630,K3,9.0,130,"60,000"
40,1.86,Alkaid,η UMa,0104,B3,6.1,3.4,"1,350"
41,1.90,Menkalinan,β Aur,081,A1,2.39,2.77,50
42,1.91,Atria,α TrA,0390,K2,7,92,"5,500"
43,1.92,Alhena,γ Gem,0109,A1.5,2.8,3.3,120
44,1.94,Peacock,α Pav,0180,B3,5.9,4.8,"2,200"
45,1.96,Alsephina[2],δ Vel,0080,A1,2.4,2.9,90
46,1.98,Mirzam,β CMa,0500,B1,13.5,10,"27,000"
47,1.98,Polaris,α UMi,0430,F8,5.4,39,"2,500"
48,2.00,Alphard,α Hya,0180,K3,3.0,50,780
49,2.23,Mintaka,δ Ori,01200,O9.5,24,16.5,"190,000"
50,2.42,Scheat,β Peg,0196,M2.5,2.1,95,"1,500"
51,2.98,Almaaz,ε Aur,0653,F0,15,140,"43,000"
52,3.35,Rasalgethi,α Her,0360,M5,2.8,280,"8,300"
53,3.50,Tau Ceti,τ Cet,011.9,G8,0.783,0.893,0.52
54,3.56,Delta Pavonis,δ Pav,019.92,G8,0.991,1.22,1.22
55,3.74,Ran,ε Eri,010.48,K2,0.82,0.74,0.34
56,3.83,V382 Carinae,Car,"08,900",G2,20,485,"212,000"
57,4,Eta Carinae,η Car,"07,500",O,100,60–881,"5,000,000"
58,4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5,"2,000"
59,4.08,Mu Cephei,μ Cep,"06,000",M2,19.2,972,"135,000"
60,4.09,Titawin,υ And,044.25,F8,1.27,1.48,3.57
61,4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2,22,636-981,"347,000 - 530,000"
62,4.82,P Cygni,P Cyg,"05,545",B1,30,76,"610,000"
63,4.86,La Superba,CVn,"01,000",C5,,129 - 342,"2,472 - 5,800"
64,4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050","200,000"
65,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665,0.153
66,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298,"4,350"
67,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74,38
68,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85,"10,000"
69,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94,0.52
70,6.57,Mira,ο Ceti,0300,M7,1.2,370,"9,000"
71,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158","417,000"
72,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51,0.072
73,6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750,"15,000"
74,7.25,HD 140283,Lib,0190,F?,?,1.4,3.83
75,7.4,II Pegasi,Peg,0130,K2,0.8,3.4,1.06
76,8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420","178,000 - 270,000"
77,8.3,Pistol Star,Sgr,"025,000",B3,100,320,"1,700,000"
78,8.6,S Doradus,Dor,"0169,000",B8,24,380,"910,000"
79,8.9,UY Scuti,Sct,"05,100",M4,7–10,755,"86,300 - 87,100"
80,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20,0.0035
81,10.7,Luhman 16,Vel,06.52,L7,0.04,?,?
82,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15,0.0017
83,11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58,4.68
84,12.23,R136a1,Dor,"0163,000",WN5,290,32,"8,710,000"
85,12.78,Melnick 42,Dor,"0163,000",O2,189,21.1,"3,600,000"
86,14.10,WR 102,Sag,"018,134",WO2,19,0.39,"282,000"
87,14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47,"330,000"
88,14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99,0.98
89,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21,0.0033
90,16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770","229,000"
91,17.30,VB 10,Aql,018.72,M8,0.075,0.10,0.0004
92,18.46,WOH G64,Dor,"0163,000",M5,<20,"1,540 - 1,730","340-589,000"
93,18.80,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12,0.0005
94,21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086,0.00013
95,25,WISE 0855−0714,Hya,07.27,Y2,0.003,?,?
96,28.4,Icarus,Leo,"014,400,000,000",B?,33,?,"850,000"
0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999
1,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998
2,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001
3,2MASS J00274197+0503417,236.0,0.029592228,0.14797871999999998
4,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999
5,2MASS J00332386-1521309 [de],131.0,0.027683052,0.14695108999999998
6,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659721999999998
7,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998
8,2MASSW J0045214+163445,57.0,0.021955524,0.16647606
9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.13359189999999999
10,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659721999999998
11,2MASS J00584253-0651239 [de],96.0,0.027683052,0.14695108999999998
12,2MASSI J0103320+193536,70.0,0.049638576000000004,0.10070773999999999
13,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004,0.10070773999999999
14,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606
15,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843
16,SDSS J015141.69+124429.6,70.0,0.044865636,0.09968010999999999
17,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.09968010999999999
18,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15722739
19,2MASS J02340093-6442068,155.0,0.01909176,0.16647606
20,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489582999999998
21,2MASS J02431371−2453298,35.0,0.031501404000000004,0.10173536999999999
22,LP 771-21,53.0,0.074457864,0.11098404
23,Teegarden's star,12.578,0.07636704,0.13050900999999998
24,2MASS J02535980+3206373,184.0,0.06204822,0.19524969999999997
25,WISE J0254+0223,24.0,0.06204822,0.19524969999999997
26,DEN 0255-4700,16.2,0.07636704,0.09968010999999999
27,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968010999999999
28,2MASS J03205965+1854233,47.0,0.084003744,0.11817744999999999
29,2MASS J03231002-4631237,192.0,0.021955524,0.17058658
30,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762484999999999
31,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999
32,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070773999999999
33,2MASS J03341218-4953322,27.0,0.069684924,0.10687352
34,LP 944-20,20.9,0.069684924,0.14695108999999998
35,2MASP J0345432+254023,88.0,0.070639512,0.10790115
36,Teide 1,380.0,0.05250234,0.38844413999999994
37,2MASS J03510004-0052452,48.0,0.09736797600000001,0.13050900999999998
38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
39,2MASS J04151954−0935066,18.6,0.028637640000000002,0.09762484999999999
40,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167000000001
41,2MASS J04351612-1606574,34.0,0.0954588,0.12948137999999998
42,2MASS J04362788-4114465,142.0,0.037228932,0.20244310999999998
43,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968010999999999
44,2MASS J04433764+0002040,82.0,0.021000936,0.18291813999999998
45,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763
46,2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999
47,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763
48,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997
49,2MASS J05160945-0445499 [de],73.0,0.044865636,0.09968010999999999
50,2MASS J0523−1403,40.0,0.064911984,0.10379063
51,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
52,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998
53,2MASS J06085283-2753583,102.0,0.036274344,0.15517213
54,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173536999999999
55,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063
56,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115
57,2MASS J07075327-4900503,60.0,0.068730336,0.10584589
58,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999
59,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998
60,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998
61,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659721999999998
62,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589
63,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999
64,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998
65,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999
66,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999
67,LHS 2021,55.0,0.084003744,0.11817744999999999
68,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999
69,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
70,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763
71,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
72,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999
73,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
74,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999
75,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999
76,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998
77,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.10070773999999999
78,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998
79,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968010999999999
80,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998
81,DEN 1048-3956,13.15,0.073503276,0.10995641
82,Luhman 16B,6.516,0.041047284,0.10481826
83,Luhman 16A,6.516,0.03818352,0.10379063
84,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763
85,TWA 28,180.0,0.034365168,0.24560357
86,Cha 110913-773444,163.0,0.007636704,0.18497339999999998
87,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612
88,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999
89,TWA 26,137.0,0.028637640000000002,0.2260786
90,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445
91,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763
92,2MASS J12074836-3900043,217.0,0.016227996,0.17572473
93,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659721999999998
94,2M 1237+6526,45.6,0.039138108,0.09659721999999998
95,TWA 29,262.0,0.001909176,2.5690749999999998
96,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.10070773999999999
97,Kelu-1A,61.0,0.060139044,0.10070773999999999
98,Kelu-1B,61.0,0.055366104,0.10070773999999999
99,2MASS J13204427+0409045,101.0,0.063957396,0.10379063
100,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,0.09968010999999999
101,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659721999999998
102,2MASS J13595510-4034582,51.0,0.060139044,0.102763
103,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999
104,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.10173536999999999
105,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716
106,LHS 2924,38.5,0.072548688,0.10892878
107,2MASS J14392837+1929150,47.0,0.068730336,0.10584589
108,LSPM J1440+1339,72.0,0.087822096,0.12228796999999998
109,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173536999999999
110,CFBDSIR 1458+10A,104.0,0.0105959268,0.1541445
111,CFBDSIR 1458+10B,104.0,0.008591292,0.13359189999999999
112,TVLM 513-46546,35.1,0.07159410000000001,0.10790115
113,2MASS 1503+2525,20.7,0.042001872,0.09659721999999998
114,CFBDS J150411+102717,71.0,0.042001872,0.09659721999999998
115,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826
116,2MASS 1507−1627,23.9,0.057275280000000005,0.10173536999999999
117,TVLM 868-110639,53.0,0.075412452,0.11098404
118,2MASSW J1515008+484742 [de],34.0,0.054411516,0.10173536999999999
119,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070773999999999
120,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763
121,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659721999999998
122,2MASSW J1552591+294849 [de],68.0,0.028637640000000002,0.14695108999999998
123,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589
124,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.09659721999999998
125,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.09659721999999998
126,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589
127,2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968010999999999
128,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659721999999998
129,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352
130,2MASSI J1726000+153819,114.0,0.022910112,0.14386819999999997
131,SDSSp J175032.96+175903.9,90.0,0.044865636,0.09968010999999999
132,2MASS J18283572-4849046,39.0,0.04295646,0.09762484999999999
133,LSR J1835+3259,18.5,0.073503276,0.10995641
134,2MASSW J1841086+311727,138.0,0.063957396,0.10379063
135,2MASS J18432213+4040209,46.0,0.091640448,0.12537086
136,2MASS J20004841-7523070,105.0,0.0238647,0.19319443999999997
137,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865247999999999
138,2MASSI J2057540-025230,47.0,0.06682116,0.10481826
139,2MASSI J2104149-103736,62.0,0.065866572,0.10481826
140,PSO J318.5−22,80.0,0.0062048220000000005,0.15722739
141,HB 2124-4228,113.0,0.089731272,0.12434322999999999
142,2MASS J21392676+0220226,32.1,0.043911048,0.09865247999999999
143,2MASS J21481628+4003593,26.3,0.05250234,0.10173536999999999
144,2MASSW J2206450-421721,93.0,0.021000936,0.13667479
145,2MASSW J2208136+292121,154.0,0.025773876,0.14489582999999998
146,2MASSW J2224438-015852,38.0,0.058229868000000004,0.10173536999999999
147,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659721999999998
148,2MASS J22373255+3922398,64.0,0.069684924,0.10687352
149,2MASSW J2244316+204343,56.0,0.011455056,0.13256426999999998
150,2MASS J23224684-3133231,56.0,0.022910112,0.14284056999999997
151,2MASS J23225299-6151275,148.0,0.016227996,0.16339317
152,2MASS J23515044-2537367,67.0,0.084003744,0.11920507999999998
153,2MASSI J2356547-155310,74.0,0.07636704,0.11201167000000001
154,WISE 0410+1502,20.0,0.005727528,0.12023270999999998
155,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046
156,WISE 0458+6434B,35.9,0.00954588,0.39049939999999994
157,WISE 1405+5534,25.3,0.028637640000000002,0.08837618
